,Réel,Predit
0,393,395.7895809764897
1,317,316.4321669571492
2,216,211.2431808360061
3,262,260.361849448107
4,260,254.39626537947768
5,290,301.5456981642932
6,175,185.431865539574
7,258,253.40441289248832
8,294,362.05738135865886
9,218,208.25604805768347
10,200,198.33173552911276
11,258,251.41492025983234
12,271,238.03187947273426
13,251,248.43936279886432
14,202,205.2920659140701
15,262,227.10124531048092
16,292,305.5217896002665
17,269,263.337406909075
18,209,235.5597496146962
19,338,317.40955029744526
20,276,265.31821805371504
21,198,203.3083609400914
22,237,293.0900876894166
23,310,310.4723705471972
24,200,196.34224289645675
25,407,357.10390658238947
26,294,310.49262735256787
27,290,271.2693329756511
28,237,248.45672577489626
29,168,184.445800711262
30,202,205.2920659140701
31,212,205.28049059671545
32,177,186.42371802656336
33,186,198.3490985051447
34,214,202.2933578183928
35,329,314.42820517779995
36,301,280.20758067590975
37,322,387.8715904844296
38,191,192.3748329484994
39,251,248.43936279886432
40,264,254.39047772080036
41,292,314.47450644721846
42,270,347.17959405381873
43,216,212.23792715233412
44,242,250.44043074887495
45,251,301.0220137559926
46,344,392.8048084553284
47,290,271.2693329756511
48,276,292.61034429337315
49,338,316.4061224931013
50,292,296.5690727533145
51,235,248.45961960423492
52,294,272.2582916333017
53,262,289.6434683204211
54,354,326.33332885101066
55,221,213.2268858099848
56,382,417.6040144594005
57,212,209.25947586202741
58,283,268.29377551468303
59,290,301.5456981642932
60,189,195.36196572682204
61,359,372.95382314102557
62,288,325.8241135894034
63,437,382.92969102551484
64,301,280.20758067590975
65,281,291.6098103183678
66,212,228.59363157106154
67,359,337.2697506719413
68,432,372.9880155209122
69,380,346.19642305484535
70,246,220.15827790155555
71,290,271.2693329756511
72,235,222.1622396809048
73,216,220.41288553235918
74,246,220.15827790155555
75,281,268.29666934402167
76,179,191.39455577886469
77,317,316.4321669571492
78,258,256.3886518414723
79,338,319.3903614420853
80,373,344.2156119102054
81,225,211.2316055186515
82,189,226.63307723179213
83,304,312.47054466786915
84,264,290.6353208074104
85,230,217.19429575794214
86,414,353.1162398290615
87,235,248.45961960423492
88,191,192.3748329484994
89,221,209.2479005446728
90,259,306.9760225072673
91,265,261.3537019350963
92,304,307.49681308622917
93,336,313.424777373456
94,228,235.53659897998693
95,237,242.48824787692828
96,380,352.16490095281335
97,202,201.3130806487581
98,184,193.37826075284337
99,177,186.42371802656336
100,293,290.60638251402384
101,209,204.2886381097261
102,380,347.1911693711734
103,317,316.4321669571492
104,366,337.2610691839254
105,253,254.40494686749363
106,264,310.9463262845633
107,269,261.34791427641903
108,161,183.45973588294999
109,184,191.38876812018736
110,196,193.36379160615007
111,244,250.43753691953629
112,267,288.64293434541577
113,198,187.42714583090734
114,159,180.47839076330465
115,209,208.26762337503808
116,271,257.3660351817684
117,200,200.32122816176874
118,315,371.96722474053627
119,222,284.1634153065125
120,230,217.19429575794214
121,382,353.15675343980274
122,193,197.34567070080072
123,288,325.8241135894034
124,221,240.5190120496429
125,244,250.43753691953629
126,228,212.22345800564082
127,244,223.14541067987818
128,184,187.4097828548754
129,179,187.41557051355272
130,359,328.3170338249894
131,198,204.3031072564194
132,271,257.3660351817684
133,253,256.39443950014964
134,196,192.36904528982208
135,166,185.44344085692865
136,230,244.48642199760025
137,267,257.3718228404457
138,189,193.37247309416605
139,136,167.57562694442726
140,308,314.45424964184787
141,310,284.1749906238671
142,258,299.59671914237833
143,413,442.41768961016595
144,184,187.4097828548754
145,235,243.48588802259493
146,259,306.9760225072673
147,274,239.0237319597236
148,232,244.48352816826159
149,292,266.29270756467247
150,207,203.29678562273676
151,283,269.28852183101105
152,225,216.20533710029147
153,198,199.3293756747794
154,191,190.38534031584342
155,230,244.48642199760025
156,286,245.4638053378963
157,202,197.3340953834461
158,202,206.28681223039808
159,384,349.1748743451521
160,242,249.44568443254695
161,389,394.36664662003676
162,294,362.05738135865886
163,198,197.3398830421234
164,225,215.21059078396348
165,225,211.2316055186515
166,260,252.40677274682167
167,229,288.13082525446987
168,209,204.2886381097261
169,110,161.6389811691845
170,209,200.3096528444141
171,175,220.6819623098561
172,239,248.4538319455576
173,108,155.67339710055518
174,200,196.34224289645675
175,221,240.5190120496429
176,334,284.14605233048053
177,320,288.1424005718245
178,294,362.05738135865886
179,209,204.2886381097261
180,218,212.23503332299546
181,205,198.32594787043544
182,230,199.33226950411807
183,267,255.3823302077897
184,138,173.54121101305657
185,260,231.08312440513157
186,283,236.02791769338498
187,290,356.09758494870687
188,331,381.8857496104297
189,177,184.43422539390735
190,209,204.2886381097261
191,186,188.40163534186473
192,216,212.23792715233412
193,290,269.2856280016724
194,345,325.3501578520373
195,246,287.6742324931357
196,196,196.34803055513407
197,170,219.1664254145662
198,347,303.02886936468053
199,244,250.43753691953629
200,267,262.3455544220857
201,216,211.2431808360061
202,310,305.5073204535732
203,232,240.5045429029496
204,207,199.31780035742477
205,200,187.42714583090734
206,346,394.79140725864573
207,253,253.41020055116564
208,191,194.3643255811554
209,230,289.12267774145914
210,334,386.85369353339235
211,254,303.00571872997125
212,260,259.36999696111764
213,294,362.05738135865886
214,308,301.5225475295839
